SampleID,Year,Lake,Site,CollectionDate,Location,Depth,Taxon,N,Length,Weight,Tissue,GutID,FishID,VolumeFiltered,Isotopes,Type,Comments
F-1111,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,57,1.7,Whole,NA,,NA,NA,NA,NA
F-1112,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1111,NA,NA,NA,NA
F-1113,2012,Ward,C,20-Jun-12,NA,NA,BYM,NA,68,2.7,Whole,NA,,NA,NA,NA,NA
F-1114,2012,Ward,C,20-Jun-12,NA,NA,BYM,NA,,,Guts,NA,F-1113,NA,NA,NA,NA
F-1115,2012,Ward,C,20-Jun-12,NA,NA,BYM,NA,66,2.4,Whole,NA,,NA,NA,NA,NA
F-1116,2012,Ward,C,20-Jun-12,NA,NA,BYM,NA,,,Guts,NA,F-1115,NA,NA,NA,NA
F-1117,2012,Ward,C,20-Jun-12,NA,NA,BNS,NA,66,2.1,Whole,NA,,NA,NA,NA,NA
F-1118,2012,Ward,C,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1117,NA,NA,NA,NA
F-1119,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,77,5.7,Whole,NA,,NA,NA,NA,NA
F-1120,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1119,NA,NA,NA,NA
F-1121,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,82,6.4,Whole,NA,NA,NA,NA,NA,NA
F-1122,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1121,NA,NA,NA,NA
F-1123,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,81,6.3,Whole,NA,NA,NA,NA,NA,NA
F-1124,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1123,NA,NA,NA,NA
F-1125,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,77,5.4,Whole,NA,,NA,NA,NA,NA
F-1126,2012,Ward,C,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1125,NA,NA,NA,NA
F-1127,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,85,7.8,Whole,NA,,NA,NA,NA,NA
F-1128,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1127,NA,NA,NA,NA
F-1129,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,78,5.2,Whole,NA,,NA,NA,NA,NA
F-1130,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1129,NA,NA,NA,NA
F-1131,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,57,1.9,Whole,NA,NA,NA,NA,NA,NA
F-1132,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1131,NA,NA,NA,NA
F-1133,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,95,12.8,Whole,NA,NA,NA,NA,NA,NA
F-1134,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,,,Guts,NA,F-1133,NA,NA,NA,NA
F-1135,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,65,2.9,Whole,NA,,NA,NA,NA,NA
F-1136,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1135,NA,NA,NA,NA
F-1137,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,89,9.9,Whole,NA,,NA,NA,NA,NA
F-1138,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,,,Guts,NA,F-1137,NA,NA,NA,NA
F-1139,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,83,7.2,Whole,NA,,NA,NA,NA,NA
F-1140,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,,,Guts,NA,F-1139,NA,NA,NA,NA
F-1141,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,82,7.2,Whole,NA,,NA,NA,NA,NA
F-1142,2012,Ward,C,20-Jun-12,NA,NA,BHD,NA,,,Guts,NA,F-1141,NA,NA,NA,NA
F-1143,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,47,1.1,Whole,NA,NA,NA,NA,NA,NA
F-1144,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1143,NA,NA,NA,NA
F-1145,2012,Ward,B,20-Jun-12,NA,NA,BNS,NA,62,1.7,Whole,NA,,NA,NA,NA,NA
F-1146,2012,Ward,B,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1145,NA,NA,NA,NA
F-1147,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,67,3.6,Whole,NA,,NA,NA,NA,NA
F-1148,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1147,NA,NA,NA,NA
F-1149,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,57,2,Whole,NA,,NA,NA,NA,NA
F-1150,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1149,NA,NA,NA,NA
F-1151,2012,Ward,B,20-Jun-12,NA,NA,IWD,NA,57,1.4,Whole,NA,,NA,NA,NA,NA
F-1152,2012,Ward,B,20-Jun-12,NA,NA,IWD,NA,,,Guts,NA,F-1151,NA,NA,NA,NA
F-1153,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,78,5.2,Whole,NA,,NA,NA,NA,NA
F-1154,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1153,NA,NA,NA,NA
F-1155,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,58,1.7,Whole,NA,,NA,NA,NA,NA
F-1156,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1155,NA,NA,NA,NA
F-1157,2012,Ward,B,20-Jun-12,NA,NA,FHM,NA,74,4.4,Whole,NA,,NA,NA,NA,NA
F-1158,2012,Ward,B,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1157,NA,NA,NA,NA
F-1159,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,67,3.1,Whole,NA,,NA,NA,NA,NA
F-1160,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1159,NA,NA,NA,NA
F-1161,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,53,1.6,Whole,NA,NA,NA,NA,NA,NA
F-1162,2012,Ward,B,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1161,NA,NA,NA,NA
F-1163,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,57,1.7,Whole,NA,NA,NA,NA,NA,NA
F-1164,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1163,NA,NA,NA,NA
F-1165,2012,Ward,B,20-Jun-12,NA,NA,IWD,NA,52,1,Whole,NA,,NA,NA,NA,NA
F-1166,2012,Ward,B,20-Jun-12,NA,NA,IWD,NA,,,Guts,NA,F-1165,NA,NA,NA,NA
F-1167,2012,Ward,B,20-Jun-12,NA,NA,IWD,NA,51,1,Whole,NA,,NA,NA,NA,NA
F-1168,2012,Ward,B,20-Jun-12,NA,NA,IWD,NA,,,Guts,NA,F-1167,NA,NA,NA,NA
F-1169,2012,Ward,B,20-Jun-12,NA,NA,BNS,NA,68,2,Whole,NA,,NA,NA,NA,NA
F-1170,2012,Ward,B,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1169,NA,NA,NA,NA
F-1171,2012,Ward,B,20-Jun-12,NA,NA,BNS,NA,65,2.1,Whole,NA,,NA,NA,NA,NA
F-1172,2012,Ward,B,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1171,NA,NA,NA,NA
F-1173,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,49,1,Whole,NA,NA,NA,NA,NA,NA
F-1174,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1173,NA,NA,NA,NA
F-1175,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,54,1.4,Whole,NA,,NA,NA,NA,NA
F-1176,2012,Ward,B,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1175,NA,NA,NA,NA
F-1177,2012,Ward,B,20-Jun-12,NA,NA,BHD,NA,104,13.1,Whole,NA,NA,NA,NA,NA,NA
F-1178,2012,Ward,B,20-Jun-12,NA,NA,BHD,NA,,,Guts,NA,F-1177,NA,NA,NA,NA
F-1179,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,76,3.9,Whole,NA,,NA,NA,NA,NA
F-1180,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1179,NA,NA,NA,NA
F-1181,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,50,1.5,Whole,NA,,NA,NA,NA,NA
F-1182,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1181,NA,NA,NA,NA
F-1183,2012,Ward,C,20-Jun-12,NA,NA,BNS,NA,62,2,Whole,NA,,NA,NA,NA,NA
F-1184,2012,Ward,C,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1183,NA,NA,NA,NA
F-1185,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,63,2.6,Whole,NA,NA,NA,NA,NA,NA
F-1186,2012,Ward,C,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1185,NA,NA,NA,NA
F-1187,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,50,1.3,Whole,NA,,NA,NA,NA,NA
F-1188,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1187,NA,NA,NA,NA
F-1189,2012,Ward,A,20-Jun-12,NA,NA,CMM,NA,87,5.5,Whole,NA,NA,NA,NA,NA,NA
F-1190,2012,Ward,A,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1189,NA,NA,NA,NA
F-1191,2012,Ward,A,20-Jun-12,NA,NA,BSB,NA,52,1.6,Whole,NA,,NA,NA,NA,NA
F-1192,2012,Ward,A,20-Jun-12,NA,NA,BSB,NA,,,Guts,NA,F-1191,NA,NA,NA,NA
F-1193,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,76,4.9,Whole,NA,,NA,NA,NA,NA
F-1194,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1193,NA,NA,NA,NA
F-1195,2012,Ward,A,20-Jun-12,NA,NA,CMM,NA,65,3.1,Whole,NA,,NA,NA,NA,NA
F-1196,2012,Ward,A,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1195,NA,NA,NA,NA
F-1197,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,53,1.2,Whole,NA,,NA,NA,NA,NA
F-1198,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1197,NA,NA,NA,NA
F-1199,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,59,1.8,Whole,NA,,NA,NA,NA,NA
F-1200,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1199,NA,NA,NA,NA
F-1201,2012,Ward,A,20-Jun-12,NA,NA,BHD,NA,109,20.1,Whole,NA,,NA,NA,NA,NA
F-1202,2012,Ward,A,20-Jun-12,NA,NA,BHD,NA,,,Guts,NA,F-1201,NA,NA,NA,NA
F-1203,2012,Ward,A,20-Jun-12,NA,NA,BHD,NA,108,17,Whole,NA,recap,NA,NA,NA,NA
F-1204,2012,Ward,A,20-Jun-12,NA,NA,BHD,NA,,,Guts,NA,"F-1203, actuIntegratedy a whole mystery BHD",NA,NA,NA,NA
F-1205,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,82,7.3,Whole,NA,NA,NA,NA,NA,NA
F-1206,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1205,NA,NA,NA,NA
F-1207,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,56,1.7,Whole,NA,,NA,NA,NA,NA
F-1208,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1207,NA,NA,NA,NA
F-1209,2012,Ward,A,20-Jun-12,NA,NA,CMM,NA,87,7.2,Whole,NA,,NA,NA,NA,NA
F-1210,2012,Ward,A,20-Jun-12,NA,NA,CMM,NA,,,Guts,NA,F-1209,NA,NA,NA,NA
F-1211,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,53,1.5,Whole,NA,recap,NA,NA,NA,NA
F-1212,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1211,NA,NA,NA,NA
F-1213,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,74,4.7,Whole,NA,,NA,NA,NA,NA
F-1214,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1213,NA,NA,NA,NA
F-1215,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,57,1.9,Whole,NA,,NA,NA,NA,NA
F-1216,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1215,NA,NA,NA,NA
F-1217,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,55,1.5,Whole,NA,,NA,NA,NA,NA
F-1218,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1217,NA,NA,NA,NA
F-1219,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,60,2,Whole,NA,,NA,NA,NA,NA
F-1220,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1219,NA,NA,NA,NA
F-1221,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,54,1.4,Whole,NA,,NA,NA,NA,NA
F-1222,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1221,NA,NA,NA,NA
F-1223,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,57,1.3,Whole,NA,,NA,NA,NA,NA
F-1224,2012,Ward,A,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1223,NA,NA,NA,NA
F-1225,2012,Ward,A,20-Jun-12,NA,NA,BNS,NA,52,1.3,Whole,NA,,NA,NA,NA,NA
F-1226,2012,Ward,A,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1225,NA,NA,NA,NA
F-1227,2012,Ward,A,20-Jun-12,NA,NA,BNS,NA,65,2.2,Whole,NA,,NA,NA,NA,NA
F-1228,2012,Ward,A,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1227,NA,NA,NA,NA
F-1229,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,87,7,Whole,NA,,NA,NA,NA,NA
F-1230,2012,Ward,A,20-Jun-12,NA,NA,FHM,NA,,,Guts,NA,F-1229,NA,NA,NA,NA
F-1231,2012,Ward,A,20-Jun-12,NA,NA,BNS,NA,68,2.2,Whole,NA,,NA,NA,NA,NA
F-1232,2012,Ward,A,20-Jun-12,NA,NA,BNS,NA,,,Guts,NA,F-1231,NA,NA,NA,NA
F-1233,2012,Ward,B,20-Jun-12,NA,NA,PKS,NA,81,10.9,Whole,NA,,NA,NA,NA,NA
F-1234,2012,Ward,B,20-Jun-12,NA,NA,PKS,NA,,,Guts,NA,F-1233,NA,NA,NA,NA
F-1235,2012,Ward,B,20-Jun-12,NA,NA,GNS,NA,84,5.2,Whole,NA,,NA,NA,NA,NA
F-1236,2012,Ward,B,20-Jun-12,NA,NA,GNS,NA,,,Guts,NA,F-1235,NA,NA,NA,NA
F-1237,2012,Ward,B,20-Jun-12,NA,NA,YOYs,NA,,,Whole,NA,"approx. 15 yoys, appear to be dace",NA,NA,NA,NA
F-1238,2012,Ward,A,17-Jul-12,NA,NA,CMM,NA,71,4.5,Whole,NA,,NA,NA,NA,NA
F-1239,2012,Ward,A,17-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1238,NA,NA,NA,NA
F-1240,2012,Ward,A,17-Jul-12,NA,NA,BHD,NA,126,23,Whole,NA,,NA,NA,NA,NA
F-1241,2012,Ward,A,17-Jul-12,NA,NA,BHD,NA,,,Guts,NA,F-1240,NA,NA,NA,NA
F-1242,2012,Ward,A,17-Jul-12,NA,NA,BHD,NA,140,35.4,Whole,NA,,NA,NA,NA,NA
F-1243,2012,Ward,A,17-Jul-12,NA,NA,BHD,NA,,,Guts,NA,F-1242,NA,NA,NA,NA
F-1244,2012,Ward,A,17-Jul-12,NA,NA,BHD,NA,147,35.1,Whole,NA,,NA,NA,NA,NA
F-1245,2012,Ward,A,17-Jul-12,NA,NA,BHD,NA,,,Guts,NA,F-1244,NA,NA,NA,NA
F-1246,2012,Ward,A,17-Jul-12,NA,NA,CMM,NA,94,8.8,Whole,NA,,NA,NA,NA,NA
F-1247,2012,Ward,A,17-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1246,NA,NA,NA,NA
F-1248,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,62,1.7,Whole,NA,,NA,NA,NA,NA
F-1249,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,,,Guts,NA,F-1248,NA,NA,NA,NA
F-1250,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,48,1,Whole,NA,,NA,NA,NA,NA
F-1251,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,,,Guts,NA,F-1250,NA,NA,NA,NA
F-1252,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,50,1,Whole,NA,,NA,NA,NA,NA
F-1253,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,,,Guts,NA,F-1252,NA,NA,NA,NA
F-1254,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,56,1.3,Whole,NA,,NA,NA,NA,NA
F-1255,2012,Ward,A,17-Jul-12,NA,NA,IWD,NA,,,Guts,NA,F-1254,NA,NA,NA,NA
F-1256,2012,Ward,B,17-Jul-12,NA,NA,DAC,NA,42,0.7,Whole,NA,,NA,NA,NA,NA
F-1257,2012,Ward,B,17-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1256,NA,NA,NA,NA
F-1258,2012,Ward,B,17-Jul-12,NA,NA,CMM,NA,64,3.1,Whole,NA,,NA,NA,NA,NA
F-1259,2012,Ward,B,17-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1258,NA,NA,NA,NA
F-1260,2012,Ward,B,17-Jul-12,NA,NA,DAC,NA,59,1.6,Whole,NA,,NA,NA,NA,NA
F-1261,2012,Ward,B,17-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1260,NA,NA,NA,NA
F-1262,2012,Ward,B,17-Jul-12,NA,NA,DAC,NA,58,1.8,Whole,NA,,NA,NA,NA,NA
F-1263,2012,Ward,B,17-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1262,NA,NA,NA,NA
F-1264,2012,Ward,B,17-Jul-12,NA,NA,DAC,NA,50,1.2,Whole,NA,,NA,NA,NA,NA
F-1265,2012,Ward,B,17-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1264,NA,NA,NA,NA
F-1266,2012,Ward,B,17-Jul-12,NA,NA,CMM,NA,75,5.4,Whole,NA,,NA,NA,NA,NA
F-1267,2012,Ward,B,17-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1266,NA,NA,NA,NA
F-1268,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,49,1.1,Whole,NA,,NA,NA,NA,NA
F-1269,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1268,NA,NA,NA,NA
F-1270,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,49,1,Whole,NA,,NA,NA,NA,NA
F-1271,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1270,NA,NA,NA,NA
F-1272,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,81,5.7,Whole,NA,,NA,NA,NA,NA
F-1273,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1272,NA,NA,NA,NA
F-1274,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,50,1.2,Whole,NA,,NA,NA,NA,NA
F-1275,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1274,NA,NA,NA,NA
F-1276,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,77,4.9,Whole,NA,,NA,NA,NA,NA
F-1277,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1276,NA,NA,NA,NA
F-1278,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,76,4.6,Whole,NA,,NA,NA,NA,NA
F-1279,2012,Ward,C,17-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1278,NA,NA,NA,NA
F-1280,2012,Ward,C,17-Jul-12,NA,NA,CMM,NA,43,0.9,Whole,NA,,NA,NA,NA,NA
F-1281,2012,Ward,C,17-Jul-12,NA,NA,BNS,NA,,,Guts,NA,F-1280,NA,NA,NA,NA
F-1282,2012,Ward,C,17-Jul-12,NA,NA,BNS,NA,68,2.1,Whole,NA,,NA,NA,NA,NA
F-1283,2012,Ward,C,17-Jul-12,NA,NA,BNS,NA,,,Guts,NA,F-1282,NA,NA,NA,NA
F-1284,2012,Ward,C,17-Jul-12,NA,NA,BNS,NA,68,2.1,Whole,NA,,NA,NA,NA,NA
F-1285,2012,Ward,C,17-Jul-12,NA,NA,BNS,NA,,,Guts,NA,F-1284,NA,NA,NA,NA
F-1286,2012,Ward,C,17-Jul-12,NA,NA,BNS,NA,66,2,Whole,NA,,NA,NA,NA,NA
F-1287,2012,Ward,C,17-Jul-12,NA,NA,BNS,NA,,,Guts,NA,F-1286,NA,NA,NA,NA
F-1288,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,114,17.8,Whole,NA,,NA,NA,NA,NA
F-1289,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,,,Guts,NA,F-1288,NA,NA,NA,NA
F-1290,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,103,14,Whole,NA,,NA,NA,NA,NA
F-1291,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,,,Guts,NA,F-1290,NA,NA,NA,NA
F-1292,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,93,10.4,Whole,NA,,NA,NA,NA,NA
F-1293,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,,,Guts,NA,F-1292,NA,NA,NA,NA
F-1294,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,105,14.3,Whole,NA,,NA,NA,NA,NA
F-1295,2012,Ward,C,17-Jul-12,NA,NA,BHD,NA,,,Guts,NA,F-1294,NA,NA,NA,NA
F-1296,2012,Ward,C,18-Jul-12,NA,NA,BNS,NA,73,2.6,Whole,NA,,NA,NA,NA,NA
F-1297,2012,Ward,C,18-Jul-12,NA,NA,BNS,NA,,,Guts,NA,F-1296,NA,NA,NA,NA
F-1298,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,52,1.4,Whole,NA,,NA,NA,NA,NA
F-1299,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1298,NA,NA,NA,NA
F-1300,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,58,1.8,Whole,NA,,NA,NA,NA,NA
F-1301,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1300,NA,NA,NA,NA
F-1302,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,49,1.2,Whole,NA,,NA,NA,NA,NA
F-1303,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1302,NA,NA,NA,NA
F-1304,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,57,1.8,Whole,NA,,NA,NA,NA,NA
F-1305,2012,Ward,C,18-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1304,NA,NA,NA,NA
F-1306,2012,Ward,C,18-Jul-12,NA,NA,CMM,NA,73,4.7,Whole,NA,,NA,NA,NA,NA
F-1307,2012,Ward,C,18-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1306,NA,NA,NA,NA
F-1308,2012,Ward,C,18-Jul-12,NA,NA,CMM,NA,81,6,Whole,NA,,NA,NA,NA,NA
F-1309,2012,Ward,C,18-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1308,NA,NA,NA,NA
F-1310,2012,Ward,A,18-Jul-12,NA,NA,DAC,NA,51,0.9,Whole,NA,,NA,NA,NA,NA
F-1311,2012,Ward,A,18-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1310,NA,NA,NA,NA
F-1312,2012,Ward,A,18-Jul-12,NA,NA,DAC,NA,46,0.8,Whole,NA,,NA,NA,NA,NA
F-1313,2012,Ward,A,18-Jul-12,NA,NA,DAC,NA,,,Guts,NA,F-1312,NA,NA,NA,NA
F-1314,2012,Ward,A,18-Jul-12,NA,NA,FHM,NA,79,4.5,Whole,NA,,NA,NA,NA,NA
F-1315,2012,Ward,A,18-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1314,NA,NA,NA,NA
F-1316,2012,Ward,A,18-Jul-12,NA,NA,CMM,NA,94,7.3,Whole,NA,,NA,NA,NA,NA
F-1317,2012,Ward,A,18-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1316,NA,NA,NA,NA
F-1318,2012,Ward,A,18-Jul-12,NA,NA,CMM,NA,65,3,Whole,NA,,NA,NA,NA,NA
F-1319,2012,Ward,A,18-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1318,NA,NA,NA,NA
F-1320,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,52,1.5,Whole,NA,,NA,NA,NA,NA
F-1321,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1320,NA,NA,NA,NA
F-1322,2012,Ward,B,18-Jul-12,NA,NA,CMM,NA,89,8,Whole,NA,,NA,NA,NA,NA
F-1323,2012,Ward,B,18-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1322,NA,NA,NA,NA
F-1324,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,75,4.2,Whole,NA,,NA,NA,NA,NA
F-1325,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1324,NA,NA,NA,NA
F-1326,2012,Ward,B,18-Jul-12,NA,NA,IWD,NA,38,0.5,Whole,NA,,NA,NA,NA,NA
F-1327,2012,Ward,B,18-Jul-12,NA,NA,IWD,NA,,,Guts,NA,F-1326,NA,NA,NA,NA
F-1328,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,82,4.8,Whole,NA,,NA,NA,NA,NA
F-1329,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1328,NA,NA,NA,NA
F-1330,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,76,5.3,Whole,NA,,NA,NA,NA,NA
F-1331,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1330,NA,NA,NA,NA
F-1332,2012,Ward,B,18-Jul-12,NA,NA,IWD,NA,53,1,Whole,NA,,NA,NA,NA,NA
F-1333,2012,Ward,B,18-Jul-12,NA,NA,IWD,NA,,,Guts,NA,F-1332,NA,NA,NA,NA
F-1334,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,74,4.8,Whole,NA,,NA,NA,NA,NA
F-1335,2012,Ward,B,18-Jul-12,NA,NA,FHM,NA,,,Guts,NA,F-1334,NA,NA,NA,NA
F-1336,2012,Ward,B,18-Jul-12,NA,NA,CMM,NA,69,4.1,Whole,NA,,NA,NA,NA,NA
F-1337,2012,Ward,B,18-Jul-12,NA,NA,CMM,NA,,,Guts,NA,F-1336,NA,NA,NA,NA
