SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalyzedForBatt2012,Notes
P-1164,2010,Ward,Epi,E,1,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,-1.49,-30.57,-175.8,Yes,
P-1165,2010,Ward,Meta,A,3.5,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,NA,No,
P-1166,2010,Ward,Meta,B,2.5,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,17.87,-31.72,-189.1,Yes,
P-1167,2010,Ward,Meta,C,3.5,2,25-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,-1.08,-34.88,-203.1,Yes,
P-1168,2010,Ward,Meta,D,3.5,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-210.9,No,
P-1169,2010,Ward,Meta,E,3.5,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,1.64,-34.89,-190.2,Yes,
P-1170,2010,Ward,Littoral,E,0.5,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-189.7,No,
P-1171,2010,Ward,Hypo,E,6,2,25-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,-3.24,-34.71,-169.1,Yes,
P-1184,2010,Ward,Epi,A,Epi,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-202.1,No,
P-1185,2010,Ward,Epi,B,Epi,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-209.9,No,
P-1186,2010,Ward,Epi,C,Epi,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-205.2,No,
P-1187,2010,Ward,Epi,D,Epi,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-207.6,No,
P-1188,2010,Ward,Epi,E,Epi,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-210.5,No,
P-1189,2010,Ward,Meta,A,Meta,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-210,No,
P-1190,2010,Ward,Meta,B,Meta,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-204.8,No,
P-1191,2010,Ward,Meta,C,Meta,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-219.8,No,
P-1192,2010,Ward,Meta,D,Meta,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-219.5,No,
P-1193,2010,Ward,Meta,E,Meta,3,19-Jul-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-224.4,No,
P-1196,2010,Ward,Epi,A,1,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-201.9,No,
P-1197,2010,Ward,Epi,B,1,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,0.07,-31.82,-196.7,Yes,
P-1198,2010,Ward,Epi,C,1,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,-1.56,-32.15,-205.5,Yes,
P-1199,2010,Ward,Epi,D,1,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-207.4,No,
P-1200,2010,Ward,Epi,E,1,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,-1.38,-32.42,-192.1,Yes,
P-1201,2010,Ward,Meta,A,2.5,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-203.2,No,
P-1202,2010,Ward,Meta,B,2.5,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,23.77,-33.3,-198.5,Yes,
P-1203,2010,Ward,Meta,C,2.5,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,-1.77,-32.07,-200.2,Yes,
P-1204,2010,Ward,Meta,D,2.5,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-198.1,No,
P-1205,2010,Ward,Meta,E,2.5,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,-3.22,-32.36,-193.6,Yes,
P-1207,2010,Ward,Hypo,E,5.5,4,19-Aug-10,POM,POM,0,NA,NA,NA,NA,NA,-5.83,-33.37,-187,Yes,
P-1238,2012,Ward,Epi,A,0.5,2,19-Jun-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-168.7,No,
P-1239,2012,Ward,Meta,A,1.5,2,19-Jun-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-163.9,No,
P-1240,2012,Ward,Epi,B,0.5,2,19-Jun-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-169.7,No,
P-1241,2012,Ward,Meta,B,1.5,2,19-Jun-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-159.5,No,
P-1242,2012,Ward,Epi,C,0.5,2,19-Jun-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-172.4,No,
P-1243,2012,Ward,Meta,C,1.5,2,19-Jun-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-169.4,No,
P-1244,2012,Ward,Epi,A,0.5,3,17-Jul-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-187.2,No,
P-1245,2012,Ward,Meta,A,1.5,3,17-Jul-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-172.7,No,
P-1246,2012,Ward,Epi,B,0.5,3,17-Jul-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-181,No,
P-1247,2012,Ward,Meta,B,1.5,3,17-Jul-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-156.9,No,
P-1248,2012,Ward,Epi,C,0.5,3,17-Jul-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-175.3,No,
P-1249,2012,Ward,Meta,C,1.5,3,17-Jul-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-192,No,
P-1256,2012,Ward,Epi,A,0.5,4,14-Aug-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-174.8,No,
P-1257,2012,Ward,Meta,A,2,4,14-Aug-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-171.5,No,
P-1258,2012,Ward,Epi,B,0.5,4,14-Aug-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-171.7,No,
P-1259,2012,Ward,Meta,B,2,4,14-Aug-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-159.5,No,
P-1260,2012,Ward,Epi,C,0.5,4,14-Aug-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-163.4,No,
P-1260,2012,Ward,Epi,C,0.5,4,14-Aug-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-200.6,No,
P-1261,2012,Ward,Meta,C,2,4,14-Aug-12,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-161.4,No,
V-0001,2001,Database,Terrestrial,NA,NA,NA,24-Jul-01,RedMaple,Tree,0,NA,NA,NA,NA,NA,-5.3,-29.82,-118.16,Yes,
V-0002,2001,Database,Terrestrial,NA,NA,NA,24-Jul-01,SugarMaple,Tree,0,NA,NA,NA,NA,NA,-4.2,-30.36,-118.9,Yes,
V-0003,2001,Database,Terrestrial,NA,NA,NA,24-Jul-01,BalsamFir,Tree,0,NA,NA,NA,NA,NA,-4.96,-30.91,-140.39,Yes,
V-0103,2001,Database,Terrestrial,NA,NA,NA,24-Jul-01,BlackSpruce,Tree,0,NA,NA,NA,NA,NA,-5.09,-27.87,-138.83,Yes,
V-0107,2001,Database,Terrestrial,NA,NA,NA,24-Jul-01,YellowBirch,Tree,0,NA,NA,NA,NA,NA,-4.05,-29.48,-124.34,Yes,
V-0120,2001,Database,Terrestrial,NA,NA,NA,24-Jul-01,WhiteCedar,Tree,0,NA,NA,NA,NA,NA,-5.21,-26.56,-120.1,Yes,
V-0257,2010,Ward,Littoral,A,NA,1,29-May-10,Macrophyte,Nuphar variegata,0,NA,NA,NA,NA,NA,-0.75,-24.14,-139.3,Yes,leaf
V-0260,2010,Ward,Littoral,D,NA,1,31-May-10,Macrophyte,Nuphar variegata,0,NA,NA,NA,NA,NA,-2.91,-24.15,-140.5,Yes,leaf
V-0261,2010,Ward,Littoral,E,NA,1,31-May-10,Macrophyte,Nuphar variegata,0,NA,NA,NA,NA,NA,-2.48,-25.47,-159,Yes,leaf
V-0268,2010,Ward,Littoral,A,NA,1,29-May-10,Macrophyte,Brasenia schreberi,0,NA,NA,NA,NA,NA,-6.44,-23,-137.8,Yes,leaf
V-0269,2010,Ward,Littoral,A,NA,1,29-May-10,Macrophyte,Brasenia schreberi,0,NA,NA,NA,NA,NA,-6.23,-23.23,-143.6,Yes,leaf
V-0270,2010,Ward,Littoral,A,NA,1,29-May-10,Macrophyte,Brasenia schreberi,0,NA,NA,NA,NA,NA,-6.28,-21.79,-107.2,Yes,stem
V-0271,2010,Ward,Terrestrial,A,NA,1,29-May-10,Terrestrial,Sedge,0,NA,NA,NA,NA,NA,0.25,-28.93,-132.6,Yes,
V-0280,2010,Ward,Terrestrial,E,NA,1,31-May-10,Terrestrial,Sedge,0,NA,NA,NA,NA,NA,-2.02,-29.17,-135.3,Yes,
V-0281,2010,Ward,Terrestrial,E,NA,1,31-May-10,Terrestrial,Alder,0,NA,NA,NA,NA,NA,-2.05,-28.01,-138.2,Yes,
V-0284,2010,Ward,Terrestrial,A,NA,1,29-May-10,Terrestrial,Alder,0,NA,NA,NA,NA,NA,-2.02,-27.45,-137.7,Yes,
V-0288,2010,Ward,Littoral,B,0.5,2,25-Jun-10,Macrophyte,Potamogeton pusillus,0,NA,NA,NA,NA,NA,-10.98,-15.73,-143.6,Yes,
V-0289,2010,Ward,Littoral,C,0.5,2,25-Jun-10,Macrophyte,Potamogeton pusillus,0,NA,NA,NA,NA,NA,-9.19,-15.57,-145.8,Yes,
V-0291,2010,Ward,Littoral,E,0.5,2,25-Jun-10,Macrophyte,Najas flexilis,0,NA,NA,NA,NA,NA,-9.34,-17.26,-133.4,Yes,
V-0292,2010,Ward,Littoral,B,0.5,2,25-Jun-10,Macrophyte,Chara,0,NA,NA,NA,NA,NA,-5.32,-16.31,-129.5,Yes,
V-0293,2010,Ward,Littoral,C,0.5,2,25-Jun-10,Macrophyte,Chara,0,NA,NA,NA,NA,NA,-3.04,-16.23,-104.1,Yes,
V-0295,2010,Ward,Littoral,E,0.5,2,25-Jun-10,Macrophyte,Chara,0,NA,NA,NA,NA,NA,-7.14,-13.77,-117.5,Yes,
V-0296,2010,Ward,Littoral,A,NA,2,26-Jun-10,Macrophyte,Brasenia schreberi,0,NA,NA,NA,NA,NA,-5.14,-24.18,-153.3,Yes,
V-0297,2010,Ward,Littoral,A,NA,2,26-Jun-10,Macrophyte,Nuphar variegata,0,NA,NA,NA,NA,NA,-1.47,-23.82,-150,Yes,
V-0299,2010,Ward,Littoral,B,0.5,2,25-Jun-10,Macrophyte,Nymphaea odorata,0,NA,NA,NA,NA,NA,-5.19,-23.94,-138,Yes,
V-0300,2010,Ward,Littoral,C,0.5,2,25-Jun-10,Macrophyte,Nymphaea odorata,0,NA,NA,NA,NA,NA,-1.9,-25.49,-139,Yes,
V-0301,2010,Ward,Littoral,E,0.5,2,25-Jun-10,Macrophyte,Nymphaea odorata,0,NA,NA,NA,NA,NA,-6.46,-23.56,-144.6,Yes,
V-0319,2010,Ward,Littoral,A,NA,3,21-Jul-10,Macrophyte,Chara,0,NA,NA,NA,NA,NA,-3.81,-17.66,-133.8,Yes,
V-0320,2010,Ward,Littoral,B,NA,3,21-Jul-10,Macrophyte,Chara,0,NA,NA,NA,NA,NA,-3.85,-19.42,-112.2,Yes,
V-0329,2010,Ward,Littoral,A,NA,3,21-Jul-10,Macrophyte,Nuphar variegata,0,NA,NA,NA,NA,NA,-0.58,-24.6,-152,Yes,
V-0330,2010,Ward,Littoral,A,NA,3,21-Jul-10,Macrophyte,Brasenia schreberi,0,NA,NA,NA,NA,NA,-3.11,-24.14,-151.8,Yes,
V-0337,2010,Ward,Terrestrial,B,NA,3,20-Jul-10,Terrestrial,Sedge,0,NA,NA,NA,NA,NA,-1.14,-30.25,-140,Yes,
V-0338,2010,Ward,Terrestrial,C,NA,3,20-Jul-10,Terrestrial,Sedge,0,NA,NA,NA,NA,NA,-0.92,-29.68,-149.1,Yes,
V-0340,2010,Ward,Terrestrial,E,NA,3,20-Jul-10,Terrestrial,Sedge,0,NA,NA,NA,NA,NA,-2.15,-28.9,-153.3,Yes,
V-0342,2010,Ward,Terrestrial,B,NA,3,20-Jul-10,Terrestrial,Alder,0,NA,NA,NA,NA,NA,-1.55,-27.36,-154.9,Yes,
V-0343,2010,Ward,Terrestrial,C,NA,3,20-Jul-10,Terrestrial,Alder,0,NA,NA,NA,NA,NA,-1.85,-27.75,-161.9,Yes,
V-0345,2010,Ward,Terrestrial,E,NA,3,20-Jul-10,Terrestrial,Alder,0,NA,NA,NA,NA,NA,-1.6,-29.33,-159.3,Yes,
V-0353,2010,Ward,Littoral,C,NA,3,21-Jul-10,Macrophyte,Potamogeton pusillus,0,NA,NA,NA,NA,NA,-0.14,-12.61,-141.6,Yes,
V-0354,2010,Ward,Littoral,D,NA,3,21-Jul-10,Macrophyte,Potamogeton pusillus,0,NA,NA,NA,NA,NA,-8.66,-13.34,-134.8,Yes,
V-0361,2010,Ward,Littoral,A,NA,4,18-Aug-10,Macrophyte,Nymphaea odorata,0,NA,NA,NA,NA,NA,0.54,-23.65,-148.7,Yes,
V-0363,2010,Ward,Littoral,C,NA,4,18-Aug-10,Macrophyte,Nymphaea odorata,0,NA,NA,NA,NA,NA,-2.03,-24.94,-145.7,Yes,
V-0366,2010,Ward,Littoral,A,NA,4,18-Aug-10,Macrophyte,Potamogeton pusillus,0,NA,NA,NA,NA,NA,-11.87,-13.43,-137.3,Yes,
V-0414,2012,Ward,Littoral,C,NA,2,18-Jun-12,Macrophyte,Najas flexilis,0,NA,NA,NA,NA,NA,NA,NA,-142.8,No,
V-0417,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Nymphaea odorata,0,NA,NA,NA,NA,NA,NA,NA,-141.2,No,
V-0420,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Nuphar variegata,0,NA,NA,NA,NA,NA,NA,NA,-145.8,No,
V-0423,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Potamogeton pusillus,0,NA,NA,NA,NA,NA,NA,NA,-135.5,No,
V-0426,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Brasenia schreberi,0,NA,NA,NA,NA,NA,NA,NA,-140.6,No,
V-0434,2012,Ward,Terrestrial,A,NA,3,16-Jul-12,Terrestrial,Tamarack,0,NA,NA,NA,NA,NA,NA,NA,-172.6,No,
V-0436,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Potamogeton amplifolius,0,NA,NA,NA,NA,NA,NA,NA,-130.6,No,
V-0439,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Pickerell Weed,0,NA,NA,NA,NA,NA,NA,NA,-131.1,No,
V-0442,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Najas flexilis,0,NA,NA,NA,NA,NA,NA,NA,-125.1,No,
V-0445,2012,Ward,Littoral,B,NA,3,16-Jul-12,Macrophyte,Potamogeton nodosus,0,NA,NA,NA,NA,NA,NA,NA,-170.3,No,
V-0449,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Potamogeton nodosus,0,NA,NA,NA,NA,NA,NA,NA,-180.5,No,
V-0454,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Nymphaea odorata,0,NA,NA,NA,NA,NA,NA,NA,-143.6,No,
V-0455,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Potamogeton amplifolius,0,NA,NA,NA,NA,NA,NA,NA,-133.4,No,
V-0457,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Brasenia schreberi,0,NA,NA,NA,NA,NA,NA,NA,-153.8,No,
V-0462,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Nuphar variegata,0,NA,NA,NA,NA,NA,NA,NA,-166.9,No,
V-0466,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Pickerell Weed,0,NA,NA,NA,NA,NA,NA,NA,-135.1,No,
V-0468,2012,Ward,Terrestrial,B,NA,4,13-Aug-12,Terrestrial,Tamarack,0,NA,NA,NA,NA,NA,NA,NA,-170.1,No,
V-0470,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Najas flexilis,0,NA,NA,NA,NA,NA,NA,NA,-131.6,No,
V-0472,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Potamogeton pusillus,0,NA,NA,NA,NA,NA,NA,NA,-122.6,No,
V-0473,2012,Ward,Terrestrial,C,NA,4,13-Aug-12,Terrestrial,Sedge,0,NA,NA,NA,NA,NA,NA,NA,-145.5,No,
V-0476,2012,Ward,Terrestrial,C,NA,4,13-Aug-12,Terrestrial,Alder,0,NA,NA,NA,NA,NA,NA,NA,-165.1,No,
V-0484,2012,Ward,Littoral,C,NA,4,13-Aug-12,Macrophyte,Chara,0,NA,NA,NA,NA,NA,NA,NA,-117,No,
W-0088,2010,Ward,Epi,E,0,1,7-Jun-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-73.3,Yes,
W-0093,2010,Ward,Meta,E,2.5,1,7-Jun-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-73.99,Yes,
W-0095,2010,Ward,Hypo,E,6,1,7-Jun-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-77.21,Yes,
W-0100,2010,Ward,Epi,E,1,2,23-Jun-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-71.09,Yes,
W-0105,2010,Ward,Meta,E,3.5,2,23-Jun-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-75.1,Yes,
W-0107,2010,Ward,Hypo,E,6,2,23-Jun-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-77.13,Yes,
W-0123,2010,Ward,Epi,E,1,3,21-Jul-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-66.74,Yes,
W-0128,2010,Ward,Meta,E,2.5,3,21-Jul-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-68.08,Yes,
W-0130,2010,Ward,Hypo,E,6,3,21-Jul-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-76.3,Yes,
W-0135,2010,Ward,Epi,E,1,4,18-Aug-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-62.78,Yes,
W-0140,2010,Ward,Meta,E,2.5,4,18-Aug-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-63.68,Yes,
W-0142,2010,Ward,Hypo,E,6,4,18-Aug-10,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-77.05,Yes,
Z-1109,2010,Ward,Epi,A,0.5,1,24-May-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-196,No,
Z-1110,2010,Ward,Epi,B,0.5,1,24-May-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-197.4,No,
Z-1111,2010,Ward,Epi,C,0.5,1,24-May-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-197.7,No,
Z-1112,2010,Ward,Epi,D,0.5,1,24-May-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-199.4,No,
Z-1113,2010,Ward,Epi,E,0.5,1,24-May-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-197.8,No,
Z-1114,2010,Ward,Meta,A,2.5,1,24-May-10,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-177.3,No,
Z-1115,2010,Ward,Meta,B,2.5,1,24-May-10,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-174.1,No,
Z-1116,2010,Ward,Meta,C,2.5,1,24-May-10,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-175.8,No,
Z-1117,2010,Ward,Meta,D,2.5,1,24-May-10,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-177.7,No,
Z-1118,2010,Ward,Meta,E,2.5,1,24-May-10,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-176.6,No,
Z-1119,2010,Ward,Integrated,A,Integrated,1,4-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-191.3,No,
Z-1120,2010,Ward,Integrated,B,Integrated,1,4-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-195.3,No,
Z-1121,2010,Ward,Integrated,C,Integrated,1,4-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-190.8,No,
Z-1122,2010,Ward,Integrated,D,Integrated,1,4-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-183.3,No,
Z-1123,2010,Ward,Integrated,E,Integrated,1,4-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-193.2,No,
Z-1124,2010,Ward,Epi,A,1,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-205.4,No,
Z-1125,2010,Ward,Epi,B,1,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.33,-32.71,-193.9,Yes,
Z-1126,2010,Ward,Epi,C,1,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.33,-32.77,-190.7,Yes,
Z-1127,2010,Ward,Epi,D,1,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-199.1,No,
Z-1128,2010,Ward,Epi,E,1,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.43,-33.05,-194.3,Yes,
Z-1129,2010,Ward,Meta,A,3,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-199.7,No,
Z-1130,2010,Ward,Meta,B,2.25,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.49,-33.86,-192.4,Yes,
Z-1131,2010,Ward,Meta,C,3,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.98,-35.01,-184.7,Yes,
Z-1132,2010,Ward,Meta,D,3,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-194.7,No,
Z-1133,2010,Ward,Meta,E,3,2,21-Jun-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.97,-34.79,-189,Yes,
Z-1134,2010,Ward,Integrated,A,Integrated,2,22-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-194.6,No,
Z-1135,2010,Ward,Pelagic,B,all,2,22-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,5.01,-33.67,-184.5,Yes,
Z-1136,2010,Ward,Pelagic,C,all,2,22-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,5.5,-33.81,-178.6,Yes,
Z-1137,2010,Ward,Integrated,D,Integrated,2,22-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-196,No,
Z-1138,2010,Ward,Pelagic,E,all,2,22-Jun-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,5.57,-33.47,-178.7,Yes,
Z-1139,2010,Ward,Epi,A,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-195.3,No,
Z-1140,2010,Ward,Epi,B,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-191.6,No,
Z-1141,2010,Ward,Epi,C,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-196.1,No,
Z-1142,2010,Ward,Epi,D,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-198.7,No,
Z-1143,2010,Ward,Epi,E,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-198.4,No,
Z-1144,2010,Ward,Meta,A,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-194.7,No,
Z-1145,2010,Ward,Meta,B,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-194.3,No,
Z-1146,2010,Ward,Meta,C,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-190.9,No,
Z-1147,2010,Ward,Meta,D,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-194.1,No,
Z-1148,2010,Ward,Meta,E,NA,3,19-Jul-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-196.6,No,
Z-1149,2010,Ward,Integrated,A,Integrated,3,22-Jul-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-189.9,No,
Z-1150,2010,Ward,Integrated,B,Integrated,3,22-Jul-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-189,No,
Z-1151,2010,Ward,Integrated,C,Integrated,3,22-Jul-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-194,No,
Z-1152,2010,Ward,Integrated,D,Integrated,3,22-Jul-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-178.5,No,
Z-1153,2010,Ward,Integrated,E,Integrated,3,22-Jul-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-181,No,
Z-1154,2010,Ward,Epi,A,NA,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-187.9,No,
Z-1155,2010,Ward,Epi,B,1,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.68,-32.81,-185.9,Yes,
Z-1156,2010,Ward,Epi,C,1,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.58,-33,-187.2,Yes,
Z-1157,2010,Ward,Epi,D,NA,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-188.7,No,
Z-1158,2010,Ward,Epi,E,1,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.73,-32.94,-185.8,Yes,
Z-1159,2010,Ward,Meta,A,NA,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-188.9,No,
Z-1160,2010,Ward,Meta,B,2,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.55,-33.3,-181.4,Yes,
Z-1161,2010,Ward,Meta,C,2.5,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.58,-33.71,-183,Yes,
Z-1162,2010,Ward,Meta,D,NA,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-186.6,No,
Z-1163,2010,Ward,Meta,E,2.5,4,16-Aug-10,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,3.75,-33.74,-186.7,Yes,
Z-1164,2010,Ward,Integrated,A,Integrated,4,18-Aug-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-172.2,No,
Z-1165,2010,Ward,Pelagic,B,all,4,18-Aug-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,3.68,-31.99,-159.9,Yes,
